Discussion ID A,Argument ID A,Discussion ID B,Argument ID B,Comparison
1662,3,27227,2,B
14442,5,24423,2,A
28718,9,30877,8,Tie
30877,8,4964,13,A
18518,5,37325,17,B
33075,18,1662,3,Tie
30877,17,4964,13,A
17412,5,4964,6,B
30877,8,20575,7,B
2381,1,37325,17,A
4964,9,4964,11,Tie
33185,4,4964,11,A
42157,3,1662,7,A
40213,17,3382,1,A
4964,13,40213,18,Tie
33185,2,42765,1,A
28718,9,30877,14,B
4964,13,4964,1,B
9551,5,40253,4,A
9551,4,33185,2,B
7703,2,4964,1,A
40253,4,14442,2,Tie
42765,1,30877,17,B
9551,4,1662,7,B
24423,5,4964,4,A
40253,4,33185,6,B
40213,17,3382,2,A
40213,17,33185,3,A
33075,18,24352,2,B
2149,25,4964,6,A
30877,8,4964,11,A
24352,5,40253,4,B
6310,4,33185,6,B
24352,2,1662,3,B
4964,11,4964,1,B
33075,18,14442,2,A
28718,9,4964,6,A
4964,13,35902,5,Tie
30877,17,4964,11,Tie
2381,1,9551,4,A
7703,2,24352,2,B
11367,2,27227,2,B
33185,2,20575,7,B
1662,7,17412,5,B
24423,5,4964,6,A
27227,2,30877,8,A
26256,1,7703,2,Tie
4964,11,4954,1,B
1662,3,1662,7,B
33185,2,30877,17,Tie
6310,4,24352,5,B
21908,1,28718,9,B
37325,17,28718,9,Tie
33185,2,2149,25,A
24423,5,4964,11,A
37325,17,27227,2,A
24423,2,30877,17,Tie
4964,4,4964,11,B
40213,17,4954,1,Tie
4954,1,40213,18,Tie
2381,1,1662,3,Tie
30877,17,20575,1,A
40253,4,14442,5,B
4964,14,35902,5,B
28718,9,42765,1,A
20575,7,33185,4,A
1662,3,17412,5,A
2149,25,4964,8,A
40213,17,26941,1,B
14442,2,33185,2,Tie
24352,5,1662,7,Tie
9551,4,17412,5,Tie
42765,3,2149,25,B
24352,5,14442,2,A
33185,3,24352,2,B
33185,4,4964,14,A
11367,2,33185,2,B
4964,7,20575,1,B
33185,6,1662,3,B
33185,3,26941,1,A
7703,1,14442,2,A
20575,1,4964,11,B
28718,12,42157,3,B
7703,1,14442,5,Tie
33185,5,24352,5,A
4964,11,3382,1,B
20575,1,3382,1,B
33185,2,4964,6,A
4964,7,35902,5,B
4964,9,40213,18,B
9551,4,42157,3,B
24423,5,30877,14,Tie
17412,5,42765,1,A
24423,5,4964,13,A
7703,1,40253,4,Tie
42157,3,21908,1,Tie
30877,14,4964,9,A
4964,11,35902,5,B
3382,2,4964,14,A
24423,2,4964,6,A
11367,2,24423,5,B
14442,5,21908,1,A
3382,2,40213,18,A
42765,3,28718,9,B
33075,18,42157,3,A
26256,1,33185,5,A
7703,2,4954,1,A
40213,17,7703,2,B
6310,4,3382,1,B
4964,1,26941,1,B
14442,2,11367,2,Tie
4964,9,26941,1,B
33185,3,2381,1,B
42157,3,17412,5,B
4964,13,4964,14,Tie
21908,1,17412,5,A
30877,17,4964,4,A
17412,5,30877,14,Tie
21908,1,24423,2,B
20575,1,4964,4,A
33185,5,4954,1,Tie
6310,4,4964,14,B
4964,1,4954,1,B
4964,6,4964,7,A
9551,4,42765,3,Tie
6310,4,2381,1,B
2149,25,30877,8,A
37325,17,33185,2,A
4964,8,4964,1,B
1662,3,24423,2,Tie
40213,17,4964,1,B
30877,14,20575,1,B
4964,4,26941,1,B
28718,9,27227,2,B
9551,5,33185,6,B
2149,25,24423,5,A
3382,1,26941,1,A
33075,18,9551,4,A
30877,17,33185,4,Tie
4964,7,4964,1,B
33185,5,35902,5,B
33075,18,1662,7,A
18518,5,33185,6,Tie
33075,18,18518,5,B
42765,1,4964,4,B
26256,1,26941,1,A
11367,2,30877,14,B
30877,14,30877,8,Tie
24423,2,24423,5,B
4964,6,4964,11,B
7703,2,7703,1,Tie
42157,3,14442,5,A
33075,18,40253,4,B
20575,7,4964,11,A
4964,13,4954,1,B
4964,8,40213,18,B
28718,12,21908,1,B
4964,8,26941,1,Tie
4964,8,4954,1,B
4964,7,4954,1,B
3382,2,33075,18,A
28718,9,30877,17,B
4964,8,33185,4,Tie
18518,5,1662,7,B
33185,3,24352,5,Tie
30877,14,33185,4,B
37325,17,11367,2,A
40213,17,40213,18,A
24423,2,2149,25,Tie
24423,2,30877,8,A
4964,1,35902,5,B
42765,3,20575,7,B
42765,3,27227,2,B
14442,5,27227,2,Tie
4954,1,26941,1,A
33185,5,18518,5,A
2381,1,24352,2,B
14442,5,33185,2,B
42157,3,37325,17,Tie
26256,1,2381,1,A
42765,1,4964,8,A
33185,3,3382,2,A
20575,7,4964,7,A
4964,6,20575,7,B
7703,2,4964,14,A
33075,18,14442,5,B
1662,3,11367,2,B
28718,12,33185,2,Tie
4964,14,4964,1,B
7703,2,3382,2,B
9551,5,40213,18,B
20575,1,4964,8,A
4954,1,3382,1,A
4964,4,4954,1,Tie
6310,4,33185,3,B
42765,3,24423,2,Tie
7703,2,33185,6,B
33075,18,28718,12,A
42157,3,1662,3,A
30877,17,30877,14,B
40253,4,1662,3,A
11367,2,4964,6,A
33185,6,42157,3,B
9551,5,24352,2,Tie
24423,2,27227,2,B
28718,9,33185,2,A
6310,4,24352,2,B
33185,6,28718,12,B
4964,6,33185,4,B
40213,17,26256,1,A
9551,5,7703,1,Tie
6310,4,18518,5,A
40213,18,26941,1,A
42765,1,4964,13,A
30877,8,4964,9,A
20575,7,4964,8,B
28718,9,2149,25,B
42765,1,30877,14,A
2149,25,42765,1,Tie
20575,7,4964,4,A
26256,1,33185,6,Tie
33185,5,7703,1,A
33185,4,26941,1,A
4964,14,26941,1,B
26256,1,40213,18,B
17412,5,2149,25,A
40213,17,33185,6,B
4964,11,26941,1,B
24423,5,4964,8,B
28718,12,14442,5,B
42765,3,4964,6,B
24352,5,33185,6,B
4964,13,33185,4,A
18518,5,24352,5,A
14442,5,42765,3,Tie
4964,13,4964,11,B
4964,7,40213,18,A
40253,4,9551,4,B
26256,1,18518,5,A
33185,5,24352,2,A
27227,2,2149,25,A
28718,12,37325,17,A
4964,13,26941,1,A
2149,25,20575,1,B
28718,12,1662,7,A
14442,2,1662,7,A
42765,3,24423,5,B
33185,2,24423,5,A
40213,17,40253,4,B
7703,1,24352,2,B
33185,3,4964,14,B
33185,3,4954,1,B
40253,4,42157,3,A
17412,5,28718,9,B
30877,8,4964,7,A
42765,1,20575,7,B
4964,9,33185,4,B
30877,17,24423,5,A
33185,3,4964,1,A
7703,2,3382,1,A
6310,4,40213,18,A
33185,3,35902,5,A
11367,2,21908,1,Tie
33185,5,9551,5,B
33185,5,7703,2,A
9551,5,3382,2,B
9551,4,28718,9,B
6310,4,4954,1,B
42765,1,33185,4,B
4964,6,4964,4,Tie
2149,25,4964,7,A
42765,1,4964,9,A
4964,11,40213,18,B
4964,9,4964,4,B
4964,7,4964,8,Tie
7703,2,40213,18,B
42765,3,30877,17,B
27227,2,20575,7,A
7703,2,40253,4,B
7703,2,35902,5,B
9551,4,24423,2,Tie
28718,12,42765,3,A
9551,4,14442,5,B
4964,6,4964,8,B
1662,3,14442,5,B
20575,7,4964,9,B
7703,1,28718,12,Tie
2149,25,4964,4,A
33185,5,40253,4,Tie
18518,5,1662,3,B
1662,3,21908,1,B
21908,1,24423,5,B
42157,3,11367,2,B
2149,25,4964,11,B
24423,5,20575,7,Tie
33185,6,14442,2,A
4964,14,3382,1,B
4964,11,4964,14,B
26256,1,33185,3,Tie
42157,3,33185,2,A
37325,17,1662,7,A
30877,14,4964,7,A
11367,2,30877,8,A
1662,7,42765,3,Tie
40213,17,6310,4,A
27227,2,4964,6,A
33185,4,3382,1,Tie
33185,4,35902,5,B
9551,4,14442,2,A
4964,6,4964,9,Tie
6310,4,33075,18,B
3382,2,24352,5,B
21908,1,20575,7,B
18518,5,40253,4,A
2149,25,30877,17,B
3382,1,35902,5,B
24423,5,30877,8,B
6310,4,7703,2,A
9551,5,4964,14,B
18518,5,28718,12,Tie
3382,2,4954,1,B
24423,5,33185,4,B
2381,1,40253,4,B
9551,5,18518,5,A
4964,8,4964,14,Tie
40213,17,33185,5,Tie
40213,17,18518,5,B
24352,2,37325,17,B
26256,1,3382,2,A
17412,5,27227,2,B
4964,13,4964,8,B
33185,5,2381,1,Tie
2381,1,24352,5,A
30877,14,4964,4,A
17412,5,20575,7,A
40213,17,24352,5,Tie
33075,18,7703,1,B
14442,2,14442,5,Tie
30877,14,4964,13,A
2149,25,30877,14,A
40213,17,2381,1,A
40213,17,35902,5,Tie
2381,1,7703,1,A
21908,1,42765,1,Tie
30877,17,4964,7,A
24352,2,42157,3,B
40213,17,33075,18,A
4964,9,4964,1,B
28718,12,1662,3,B
20575,1,4964,9,A
3382,2,24352,2,A
24423,5,4964,7,A
9551,5,24352,5,A
37325,17,42765,3,Tie
14442,2,28718,9,A
1662,3,42765,3,B
44220,2,29343,1,B
22408,1,38713,3,A
23456,2,29343,1,B
33824,3,21879,5,A
27832,1,9086,5,B
29832,2,1602,5,A
5739,3,22408,5,B
43000,3,40873,1,B
38713,1,22408,1,A
29832,2,38713,5,A
4851,1,29343,1,A
9086,5,1615,3,A
12533,5,5739,3,A
1615,3,29343,1,A
25711,6,10637,1,B
3432,1,21879,2,B
18591,2,41308,22,A
40873,1,13593,2,B
1602,1,38713,5,A
14552,1,14341,1,Tie
1602,1,21879,5,A
38713,2,38713,5,B
41308,22,7411,6,B
33824,4,23541,1,A
18591,2,514,6,B
2675,2,196,1,A
11452,1,21879,5,A
33824,3,22408,1,A
31768,6,6454,1,A
40651,2,1615,3,A
43000,3,27832,1,B
38713,3,26220,1,A
1602,1,38713,3,B
30835,3,196,1,B
31768,6,23456,2,B
43000,3,2675,2,A
29832,2,5291,10,A
21879,5,40873,4,B
29832,2,26220,1,B
12533,5,22408,1,A
1615,3,43809,4,A
23456,5,23456,2,A
196,1,18591,2,Tie
22408,1,16012,8,A
22408,5,23541,1,B
4851,1,5291,2,A
40651,2,18591,2,B
18018,3,30835,3,B
18018,1,10637,1,B
4851,1,43809,4,B
4851,1,23456,2,B
16012,8,27832,1,Tie
18018,3,2675,2,B
38713,5,22408,5,B
4851,1,32364,2,A
23456,2,3432,1,A
33824,4,13593,2,B
6444,5,18591,2,A
10637,1,21879,5,B
38713,2,38713,1,B
7411,6,14341,1,A
33408,6,25711,6,Tie
33824,4,27832,1,A
22408,5,196,1,A
1615,3,3432,1,A
196,1,4851,1,B
43000,3,30835,3,A
1602,1,40873,1,B
41308,10,10637,1,A
23541,1,18591,2,B
22408,5,18018,2,A
31768,6,6444,5,A
21879,3,32364,2,A
41308,17,33335,1,A
23541,1,1615,3,Tie
22408,1,30835,3,B
10637,1,11452,1,A
9086,5,18591,2,B
21879,5,22408,8,A
514,6,29343,1,B
18018,2,6454,1,A
38713,5,33824,4,B
5291,2,41308,10,A
41308,22,25711,6,B
41308,22,33408,5,A
29343,1,3432,1,A
40873,1,30835,3,B
22408,1,5739,3,A
13593,2,6444,5,B
33824,3,40873,1,B
11452,1,19017,5,B
38713,2,22408,8,A
6444,5,23456,5,Tie
7411,6,41308,10,A
41308,17,40873,4,B
14552,1,40873,4,A
19017,5,40873,4,A
23541,1,514,6,A
5291,10,22408,8,B
23541,1,6444,5,B
41308,17,5291,10,A
196,1,44220,2,A
43000,3,33824,4,Tie
43703,2,6454,1,A
43809,4,25711,6,B
25711,6,14341,1,A
33824,3,38713,1,A
6454,1,22010,2,B
22010,2,5291,2,B
38713,3,33824,4,A
23541,1,22010,2,B
9086,5,4851,1,A
41308,12,33408,5,A
43000,3,16012,8,A
31768,6,23541,1,A
23456,2,21879,3,B
12533,5,1602,1,B
22408,5,30835,3,B
10925,5,33408,6,B
196,1,6454,1,B
44220,2,23456,2,B
33408,6,14552,1,A
40873,4,22408,8,A
9086,5,23456,5,B
23541,1,44220,2,B
27832,1,40651,2,B
13593,2,31768,6,A
16012,8,40651,2,A
43703,2,31768,6,B
41308,12,10637,1,A
25711,6,19017,5,B
1602,5,22408,8,B
6454,1,44220,2,A
33408,6,19017,5,A
22010,2,41308,22,Tie
29343,1,25711,6,B
33335,1,5291,10,A
22408,5,13593,2,A
40651,2,44220,2,B
44220,2,32364,2,B
31768,6,40651,2,A
31768,6,23456,5,A
38713,1,26220,1,B
1615,3,23456,5,B
7411,6,41308,17,A
33408,5,33408,6,B
1602,1,26220,1,B
21879,3,41308,10,B
10637,1,5291,10,A
29343,1,41308,12,B
9086,5,22010,2,A
38713,5,16012,8,B
3432,1,41308,22,B
33824,3,1602,1,B
11452,1,1602,5,A
5739,3,13593,2,B
43809,4,21879,2,A
196,1,514,6,Tie
196,1,23541,1,A
22408,1,2675,2,A
30835,3,43703,2,A
31768,6,1615,3,B
21879,2,18018,1,A
43703,2,40651,2,A
18591,2,43809,4,B
25711,6,18018,1,B
23456,2,32364,2,B
38713,2,26220,1,B
41308,17,11452,1,B
41308,10,33335,1,A
38713,1,5739,3,Tie
11975,1,21879,5,B
16012,8,43703,2,A
38713,5,30835,3,A
13593,2,9086,5,A
31768,6,4851,1,B
43000,3,38713,5,A
38713,2,18018,3,A
41308,12,25711,6,A
21879,3,10925,5,B
43809,4,5291,2,B
23456,2,43809,4,A
18018,3,33824,4,A
43809,4,41308,22,A
43000,3,13593,2,Tie
3432,1,41551,5,A
21879,3,43809,4,B
31768,6,514,6,A
22408,1,27832,1,B
40873,1,16012,8,Tie
11975,1,12533,5,B
22010,2,29343,1,A
29343,1,32364,2,Tie
21879,2,41308,17,B
7411,6,14552,1,A
25711,6,14552,1,A
41308,12,18018,1,B
1602,1,43000,3,A
33824,4,43703,2,B
21879,2,11452,1,A
3432,1,41308,12,A
40873,1,22408,5,Tie
16012,8,9086,5,B
10925,5,7411,6,B
23456,2,5291,2,Tie
44220,2,3432,1,Tie
21879,2,25711,6,A
43703,2,23456,5,B
38713,2,1602,1,Tie
37069,1,22408,1,A
10925,5,33408,5,A
18018,3,38713,5,A
41308,10,19017,5,A
22408,5,6444,5,B
43703,2,6444,5,B
43703,2,23456,2,B
21879,2,33408,6,B
3432,1,7411,6,B
43000,3,22408,1,A
14552,1,11452,1,B
40651,2,4851,1,A
31768,6,18591,2,B
14552,1,1602,5,B
38713,1,38713,5,B
6454,1,514,6,B
18018,2,16012,8,A
32364,2,41551,5,Tie
33408,5,41308,17,Tie
29832,2,12533,5,B
18018,3,22408,5,Tie
38713,3,30835,3,B
27832,1,23541,1,A
38713,3,38713,5,A
18591,2,5291,2,A
22408,1,18018,2,A
7411,6,19017,5,A
27832,1,31768,6,B
38713,2,22408,1,A
6454,1,1615,3,B
4851,1,22010,2,B
3432,1,33408,6,B
38713,1,5291,10,A
43000,3,5739,3,B
38713,3,27832,1,B
33335,1,22408,8,B
18018,1,40873,4,B
1602,1,22408,1,B
38713,5,5739,3,A
37069,1,40873,1,B
18018,3,26220,1,B
11975,1,22408,8,B
37069,1,38713,1,A
18018,1,14552,1,A
41551,5,14552,1,B
1615,3,5291,2,B
5291,2,41551,5,Tie
1602,1,5739,3,Tie
40873,1,2675,2,A
41551,5,33335,1,Tie
5739,3,33824,4,B
1602,1,5291,10,A
44220,2,5291,2,B
22408,1,26220,1,B
23541,1,23456,2,B
27832,1,13593,2,Tie
43000,3,26220,1,B
38713,2,12533,5,Tie
22408,5,43703,2,A
41551,5,18018,1,A
7411,6,41308,12,Tie
10637,1,1602,5,B
4851,1,10925,5,A
9086,5,514,6,B
9086,5,23456,2,B
33824,3,43000,3,Tie
41308,10,21879,2,B
33408,5,18018,1,A
29343,1,5291,2,A
18018,1,11452,1,A
27832,1,2675,2,B
4851,1,41308,22,B
1615,3,23456,2,B
21879,3,7411,6,B
5739,3,2675,2,Tie
7411,6,33408,5,A
5291,2,41308,22,B
23541,1,23456,5,B
7411,6,10637,1,Tie
18018,2,9086,5,A
40651,2,23456,5,B
18018,3,22408,1,B
1602,1,18018,3,A
37069,1,33824,3,A
27832,1,30835,3,B
11975,1,1602,1,B
18591,2,3432,1,B
29832,2,38713,1,B
1602,1,1602,5,A
29343,1,41551,5,B
21879,2,33335,1,A
33824,4,9086,5,B
22010,2,10925,5,A
41308,17,14552,1,A
41551,5,33408,5,B
514,6,21879,3,B
16012,8,13593,2,B
22408,5,16012,8,A
11975,1,5291,10,B
11975,1,43000,3,A
43809,4,41551,5,B
14341,1,40873,4,Tie
33408,6,10637,1,A
41308,22,21879,2,B
10925,5,25711,6,B
4851,1,23456,5,A
41551,5,33408,6,A
2675,2,6444,5,A
13593,2,40651,2,A
30835,3,2675,2,A
38713,3,16012,8,B
41551,5,41308,10,B
6454,1,9086,5,B
38713,3,13593,2,B
22408,5,6454,1,B
41308,10,14552,1,B
3432,1,41308,10,A
21879,2,19017,5,A
22010,2,3432,1,Tie
18591,2,1615,3,A
23456,2,10925,5,Tie
5291,2,10925,5,B
33408,6,11452,1,B
22408,5,2675,2,A
1615,3,32364,2,B
19017,5,5291,10,A
31768,6,44220,2,B
26220,1,33824,4,A
32364,2,41308,12,B
33824,4,30835,3,Tie
22408,1,13593,2,B
11452,1,5291,10,B
23541,1,6454,1,A
38713,1,40873,1,B
31768,6,22010,2,A
10637,1,33335,1,A
41308,17,14341,1,B
12533,5,40873,4,A
12533,5,43000,3,A
14552,1,10637,1,B
32364,2,7411,6,B
14341,1,21879,5,Tie
18018,3,27832,1,A
38713,3,22408,5,B
38713,2,33824,3,B
41308,10,41308,12,B
1615,3,10925,5,A
29832,2,21879,5,B
29832,2,22408,1,Tie
6444,5,4851,1,B
33824,3,5291,10,B
38713,2,1602,5,Tie
6444,5,40651,2,B
29832,2,22408,8,A
3432,1,25711,6,A
7411,6,18018,1,Tie
11452,1,22408,8,B
7411,6,21879,2,A
32364,2,21879,2,B
33824,3,22408,8,A
31768,6,9086,5,A
18018,3,16012,8,B
11452,1,40873,4,B
9086,5,44220,2,A
29832,2,1602,1,A
38713,3,18018,2,B
41308,17,19017,5,A
10925,5,41308,10,Tie
41308,10,33408,6,A
33408,6,14341,1,A
7411,6,33335,1,B
41308,12,33335,1,Tie
22408,1,40873,1,B
12533,5,38713,3,B
43809,4,10925,5,A
12533,5,40873,1,A
29343,1,21879,2,B
32364,2,33408,5,B
43000,3,18018,2,A
44220,2,23456,5,B
29343,1,33408,6,A
33824,3,1602,5,A
38713,2,40873,4,Tie
12533,5,38713,5,B
33408,5,21879,2,Tie
16012,8,6454,1,B
30835,3,6454,1,B
33408,5,11452,1,A
13593,2,43703,2,Tie
196,1,23456,5,B
11452,1,14341,1,Tie
6444,5,9086,5,B
23456,5,3432,1,A
41551,5,41308,17,Tie
44220,2,10925,5,B
21879,3,3432,1,A
43809,4,33408,5,A
37069,1,38713,3,B
18018,3,38713,3,A
41308,17,10637,1,Tie
3432,1,43809,4,B
1615,3,41308,22,B
33408,6,41308,17,B
41551,5,11452,1,B
18591,2,32364,2,A
12533,5,22408,8,A
27832,1,43703,2,A
41308,17,1602,5,A
32364,2,41308,22,B
33824,3,38713,5,Tie
33824,3,12533,5,Tie
23541,1,9086,5,A
18018,1,14341,1,A
25711,6,33335,1,A
26220,1,27832,1,A
29832,2,11975,1,A
16012,8,196,1,B
41308,12,14552,1,A
11975,1,40873,4,A
6444,5,6454,1,B
6454,1,4851,1,B
30835,3,23541,1,A
22408,5,9086,5,B
18018,2,23541,1,A
38713,1,1602,5,A
5291,2,25711,6,B
29832,2,38713,3,B
29832,2,40873,1,B
18018,2,2675,2,B
33408,5,33335,1,A
33408,5,10637,1,Tie
12533,5,5291,10,Tie
1602,5,5291,10,B
2675,2,23541,1,B
38713,1,43000,3,A
22010,2,514,6,A
18591,2,21879,3,A
19017,5,22408,8,A
23456,5,29343,1,B
6444,5,23456,2,A
14552,1,22408,8,B
43703,2,22010,2,B
18018,2,40651,2,B
41308,10,14341,1,A
43809,4,33408,6,A
40651,2,9086,5,A
23456,5,5291,2,A
14552,1,19017,5,B
33335,1,14341,1,B
11975,1,38713,3,A
41308,22,41551,5,A
196,1,6444,5,B
22010,2,18591,2,Tie
10637,1,40873,4,Tie
514,6,43809,4,B
26220,1,22408,5,A
29343,1,7411,6,A
11975,1,18018,3,B
29832,2,18018,3,Tie
44220,2,4851,1,B
25711,6,41308,17,A
21879,3,41308,22,B
43703,2,23541,1,Tie
2675,2,31768,6,Tie
41308,10,25711,6,A
21879,3,21879,2,B
2675,2,43703,2,Tie
43703,2,196,1,B
37069,1,1602,5,A
32364,2,10925,5,B
11975,1,38713,5,A
43809,4,41308,12,B
41551,5,25711,6,A
32364,2,25711,6,A
43703,2,9086,5,A
22408,1,38713,5,A
18591,2,23456,5,B
41308,10,18018,1,A
18591,2,23456,2,A
33408,6,18018,1,B
30835,3,9086,5,A
38713,3,5739,3,A
4851,1,1615,3,Tie
14552,1,5291,10,A
38713,3,2675,2,B
3432,1,10925,5,Tie
27832,1,6444,5,B
23541,1,4851,1,B
25711,6,11452,1,Tie
38713,2,40873,1,A
7411,6,25711,6,B
18018,3,40873,1,A
43000,3,22408,5,B
1615,3,21879,3,Tie
21879,2,10637,1,B
4851,1,514,6,A
5291,2,7411,6,A
38713,2,5291,10,Tie
18018,2,196,1,A
10925,5,41551,5,B
41308,12,33408,6,Tie
33824,3,26220,1,Tie
37069,1,38713,2,B
38713,1,22408,8,Tie
